StickerId,StickerBild,Name,Emotion,Aktion
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\01_happy.smiling_pebbles_01.png.png",pebbles,happy,smiling
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\02_cool.sitting_blacky_02.png",blacky,cool,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\03_surprised.sitting_whiskers_03.png",whiskers,surprised,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\04_surprised.sitting_shadow_04.png",shadow,surprised,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\05_cool.sitting_trixie_05.png",trixie,cool,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\06_cool.sitting_trixy_06.png",trixy,cool,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\07_annoyed.screaming_leo_07.png",leo,annoyed,screaming
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\08_cool.standing_orange_08.png",orange,cool,standing
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\09_confused.sitting_mittens_09.png",mittens,confused,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\10_angry.standing_snowball_10.png",snowball,angry,standing
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\11_calm.lookingsmart_pebbles_11.png",pebbles,calm,lookingsmart
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\12_sus.standing_pepsi_12.png",pepsi,sus,standing
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\13_surprised.sitting_orange_13.png",orange,surprised,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\14_excited.standing_simba_14.png",simba,excited,standing
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\15_grumpy.looking_mew_15.png",mew,grumpy,looking
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\16_disgusted.looking_zoomie_16.png",zoomie,disgusted,looking
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\17_happy.sitting_vanilla_17.png",vanilla,happy,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\18_sus.looking_tiger_18.png",tiger,sus,looking
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\19_ready.sitting_cleo_19.png",cleo,ready,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\20_content.sitting_lilly_20.png",lilly,content,sitting
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\21_sceptical.drinking_pumpkin_21.png",pumpkin,sceptical,drinking
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\22_evil.looking_meowster_22.png",meowster,evil,looking
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\23_thankful.standing_cookie_23.png",cookie,thankful,standing
,"C:\Users\peppe\OneDrive\Desktop\Projects & Art\Katzensticker Database\Sticker\24_content.sitting_fluffy_24.png",fluffy,content,sitting
